epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.0035,1.10285,1.14987,1.2046,0.79556,0.73616,0.79627,0.61383,0.88199,0.7038,1.00377,2.35062e-05,2.35062e-05,2.35062e-05
2,81.2196,1.01215,0.95864,1.13621,0.82083,0.77948,0.82889,0.65252,0.83731,0.64461,0.97603,4.7301e-05,4.7301e-05,4.7301e-05
3,121.26,0.97841,0.89173,1.10994,0.89593,0.79602,0.8449,0.68298,0.79343,0.5874,0.95003,7.10753e-05,7.10753e-05,7.10753e-05
4,161.209,0.92516,0.8206,1.07642,0.85822,0.83989,0.86445,0.70056,0.76769,0.5527,0.93888,9.48135e-05,9.48135e-05,9.48135e-05
5,201.147,0.90011,0.75295,1.05471,0.90253,0.8318,0.88271,0.71476,0.73932,0.52098,0.9239,0.0001185,0.0001185,0.0001185
6,241.108,0.84799,0.70863,1.03344,0.87677,0.83341,0.88268,0.72572,0.71931,0.52778,0.92107,0.000118677,0.000118677,0.000118677
7,281.108,0.83711,0.6692,1.01679,0.90481,0.86345,0.9004,0.73769,0.69906,0.495,0.9056,0.000118536,0.000118536,0.000118536
8,321.17,0.80282,0.6442,1.0068,0.89954,0.87288,0.90978,0.75455,0.66655,0.47087,0.89127,0.000118368,0.000118368,0.000118368
9,361.02,0.75791,0.6317,0.99899,0.9109,0.8801,0.91829,0.75674,0.65759,0.45978,0.8869,0.000118175,0.000118175,0.000118175
10,400.917,0.76621,0.60675,0.99588,0.92739,0.87777,0.92321,0.77118,0.62064,0.44949,0.87463,0.000117957,0.000117957,0.000117957
11,440.98,0.75256,0.59279,0.9823,0.93499,0.88457,0.92785,0.77585,0.59686,0.43064,0.86698,0.000117713,0.000117713,0.000117713
12,480.958,0.75157,0.57915,0.97715,0.94001,0.8878,0.92755,0.78767,0.5932,0.43007,0.86591,0.000117444,0.000117444,0.000117444
13,520.991,0.71774,0.55874,0.96631,0.91425,0.89046,0.92739,0.79346,0.57834,0.41669,0.85678,0.000117149,0.000117149,0.000117149
14,560.837,0.7009,0.55253,0.96776,0.92185,0.89941,0.93345,0.80457,0.54847,0.39318,0.84882,0.00011683,0.00011683,0.00011683
15,600.748,0.6848,0.52438,0.94689,0.93321,0.89127,0.93777,0.80885,0.55594,0.39878,0.84964,0.000116486,0.000116486,0.000116486
16,640.742,0.68207,0.5185,0.94858,0.93747,0.91166,0.94,0.81428,0.54395,0.3828,0.84488,0.000116117,0.000116117,0.000116117
17,680.718,0.66696,0.52764,0.95136,0.93819,0.88986,0.93714,0.81411,0.53368,0.38351,0.84111,0.000115723,0.000115723,0.000115723
18,720.582,0.66206,0.51084,0.94594,0.94006,0.9074,0.94208,0.82463,0.52552,0.37416,0.83901,0.000115306,0.000115306,0.000115306
19,760.553,0.65031,0.51329,0.94384,0.95078,0.90607,0.94498,0.81221,0.52623,0.38277,0.84133,0.000114863,0.000114863,0.000114863
20,800.421,0.63941,0.49428,0.93912,0.9387,0.91411,0.9471,0.81966,0.51734,0.38757,0.83888,0.000114397,0.000114397,0.000114397
21,840.242,0.62773,0.48229,0.93333,0.9558,0.90198,0.94776,0.82288,0.5051,0.36144,0.83097,0.000113907,0.000113907,0.000113907
22,879.99,0.62089,0.47804,0.9322,0.94842,0.92197,0.94945,0.83122,0.4942,0.35497,0.82885,0.000113394,0.000113394,0.000113394
23,919.992,0.62593,0.479,0.93538,0.94437,0.92199,0.95212,0.83186,0.49113,0.35024,0.82781,0.000112857,0.000112857,0.000112857
24,959.976,0.61753,0.48014,0.92516,0.95626,0.91203,0.95282,0.83372,0.48228,0.34881,0.82423,0.000112297,0.000112297,0.000112297
25,999.954,0.60725,0.47065,0.92473,0.94854,0.91577,0.95275,0.84654,0.47547,0.35492,0.8208,0.000111714,0.000111714,0.000111714
26,1039.92,0.60372,0.45901,0.92017,0.94959,0.92079,0.95191,0.83977,0.46829,0.34675,0.81835,0.000111108,0.000111108,0.000111108
27,1079.74,0.60538,0.46489,0.92498,0.9593,0.91967,0.95369,0.84734,0.47418,0.34325,0.82029,0.00011048,0.00011048,0.00011048
28,1119.68,0.59577,0.4582,0.9112,0.94396,0.92605,0.95472,0.84399,0.46711,0.33903,0.81744,0.00010983,0.00010983,0.00010983
29,1159.58,0.58656,0.45137,0.92231,0.94636,0.9293,0.9548,0.84815,0.45759,0.33359,0.81292,0.000109158,0.000109158,0.000109158
30,1199.57,0.57322,0.43793,0.90577,0.95174,0.93041,0.95637,0.8556,0.45574,0.331,0.81173,0.000108465,0.000108465,0.000108465
31,1239.45,0.56602,0.43878,0.91488,0.95253,0.92656,0.95525,0.85381,0.44848,0.32875,0.81006,0.00010775,0.00010775,0.00010775
32,1279.29,0.56166,0.43777,0.90739,0.94903,0.92611,0.95738,0.85603,0.44902,0.32558,0.81231,0.000107015,0.000107015,0.000107015
33,1319.27,0.58686,0.44567,0.91426,0.95917,0.92755,0.95861,0.85978,0.44546,0.32376,0.80977,0.000106258,0.000106258,0.000106258
34,1359.2,0.56407,0.43213,0.9121,0.93893,0.94508,0.96268,0.85901,0.4467,0.32215,0.81054,0.000105482,0.000105482,0.000105482
35,1399,0.55716,0.42833,0.90355,0.95954,0.94136,0.96452,0.86058,0.4296,0.31651,0.80673,0.000104686,0.000104686,0.000104686
36,1438.87,0.55016,0.42844,0.90367,0.95576,0.94142,0.9625,0.8679,0.42109,0.31383,0.80518,0.00010387,0.00010387,0.00010387
37,1478.85,0.55997,0.4255,0.90146,0.95286,0.94042,0.96197,0.86471,0.42953,0.3184,0.80802,0.000103035,0.000103035,0.000103035
38,1518.55,0.5393,0.41513,0.90215,0.96262,0.93071,0.96451,0.86531,0.42053,0.31745,0.80138,0.000102181,0.000102181,0.000102181
39,1558.32,0.54071,0.41865,0.89606,0.96207,0.94132,0.9657,0.871,0.41643,0.3078,0.80224,0.000101309,0.000101309,0.000101309
40,1598.26,0.53658,0.41545,0.90407,0.95956,0.93692,0.96267,0.87244,0.41024,0.30469,0.80124,0.000100418,0.000100418,0.000100418
41,1638.17,0.53265,0.4155,0.89691,0.95362,0.93696,0.96066,0.87189,0.41541,0.30839,0.80031,9.95101e-05,9.95101e-05,9.95101e-05
42,1677.95,0.52847,0.40745,0.90244,0.9642,0.93696,0.96414,0.87266,0.4067,0.30913,0.79795,9.85847e-05,9.85847e-05,9.85847e-05
43,1717.93,0.53011,0.40985,0.8887,0.95902,0.9394,0.96651,0.88033,0.40254,0.30449,0.79593,9.76425e-05,9.76425e-05,9.76425e-05
44,1757.85,0.54669,0.4129,0.89393,0.95878,0.94128,0.96543,0.88069,0.39485,0.29926,0.7961,9.66837e-05,9.66837e-05,9.66837e-05
45,1797.89,0.52926,0.40688,0.89636,0.96892,0.94128,0.96699,0.87969,0.39478,0.29652,0.79663,9.57089e-05,9.57089e-05,9.57089e-05
46,1837.78,0.53584,0.40703,0.89133,0.96059,0.94196,0.96598,0.87431,0.40265,0.3009,0.79869,9.47185e-05,9.47185e-05,9.47185e-05
47,1877.67,0.53661,0.41285,0.89626,0.96218,0.94275,0.96673,0.87363,0.3977,0.29687,0.7967,9.37129e-05,9.37129e-05,9.37129e-05
48,1917.55,0.5139,0.39906,0.88923,0.97192,0.93584,0.96874,0.87892,0.3972,0.29682,0.79596,9.26925e-05,9.26925e-05,9.26925e-05
49,1957.42,0.50193,0.39016,0.88887,0.95423,0.95447,0.96829,0.88148,0.40173,0.29697,0.79737,9.16579e-05,9.16579e-05,9.16579e-05
50,1997.36,0.49708,0.3818,0.88688,0.96195,0.93917,0.96944,0.88513,0.38763,0.29381,0.79526,9.06094e-05,9.06094e-05,9.06094e-05
51,2037.31,0.5008,0.38639,0.88431,0.97166,0.94378,0.96808,0.88106,0.39221,0.29009,0.79506,8.95475e-05,8.95475e-05,8.95475e-05
52,2077.27,0.52348,0.40357,0.89535,0.95453,0.94672,0.96485,0.88415,0.37749,0.28607,0.79239,8.84727e-05,8.84727e-05,8.84727e-05
53,2117.18,0.49465,0.37845,0.88747,0.96448,0.94478,0.96803,0.88093,0.38124,0.27984,0.79138,8.73855e-05,8.73855e-05,8.73855e-05
54,2157.09,0.49374,0.37583,0.88391,0.96721,0.95017,0.96995,0.88736,0.37703,0.28473,0.79136,8.62862e-05,8.62862e-05,8.62862e-05
55,2197.11,0.48866,0.37796,0.88275,0.95229,0.95948,0.96949,0.88249,0.38092,0.2885,0.79098,8.51755e-05,8.51755e-05,8.51755e-05
56,2236.99,0.49741,0.38185,0.88437,0.96559,0.9507,0.9684,0.88713,0.37821,0.27958,0.79064,8.40538e-05,8.40538e-05,8.40538e-05
57,2276.75,0.49585,0.38364,0.88794,0.96649,0.95151,0.96829,0.88692,0.38161,0.27816,0.79134,8.29216e-05,8.29216e-05,8.29216e-05
58,2316.59,0.48986,0.37811,0.88351,0.96555,0.95952,0.96937,0.88667,0.3771,0.27853,0.79062,8.17794e-05,8.17794e-05,8.17794e-05
59,2356.44,0.48613,0.371,0.88431,0.96247,0.95495,0.9696,0.8865,0.37122,0.27899,0.78807,8.06276e-05,8.06276e-05,8.06276e-05
60,2396.23,0.47773,0.36217,0.88516,0.96401,0.94958,0.96744,0.88652,0.366,0.27575,0.78768,7.94669e-05,7.94669e-05,7.94669e-05
61,2436.1,0.4758,0.36556,0.87763,0.96614,0.95601,0.96897,0.88771,0.36246,0.27469,0.78678,7.82976e-05,7.82976e-05,7.82976e-05
62,2476.2,0.48648,0.37384,0.87679,0.96307,0.94757,0.9681,0.88627,0.35751,0.27334,0.78602,7.71204e-05,7.71204e-05,7.71204e-05
63,2516.08,0.47143,0.36206,0.87838,0.96533,0.94169,0.96797,0.89308,0.35571,0.27066,0.78471,7.59357e-05,7.59357e-05,7.59357e-05
64,2556.24,0.48138,0.37153,0.87651,0.96995,0.94677,0.96844,0.88837,0.3507,0.27053,0.78407,7.47441e-05,7.47441e-05,7.47441e-05
65,2596.11,0.47258,0.36545,0.87672,0.96673,0.95898,0.97037,0.88899,0.35312,0.27158,0.78539,7.3546e-05,7.3546e-05,7.3546e-05
66,2636.09,0.45946,0.35681,0.87705,0.96379,0.94829,0.96905,0.89064,0.34882,0.26632,0.78459,7.2342e-05,7.2342e-05,7.2342e-05
67,2675.96,0.4591,0.34894,0.87022,0.96527,0.9488,0.96701,0.8893,0.35345,0.26704,0.7857,7.11327e-05,7.11327e-05,7.11327e-05
68,2715.99,0.47867,0.35636,0.87118,0.96446,0.95573,0.96883,0.89161,0.34857,0.26625,0.78462,6.99185e-05,6.99185e-05,6.99185e-05
69,2755.83,0.4569,0.34899,0.8704,0.96831,0.95531,0.96874,0.89258,0.34715,0.26545,0.78405,6.87e-05,6.87e-05,6.87e-05
70,2795.8,0.45826,0.35412,0.87027,0.96847,0.9543,0.96858,0.899,0.33843,0.25896,0.78151,6.74778e-05,6.74778e-05,6.74778e-05
71,2835.73,0.45192,0.34183,0.87024,0.96386,0.95852,0.97069,0.8954,0.3423,0.2642,0.78235,6.62522e-05,6.62522e-05,6.62522e-05
72,2875.56,0.47089,0.36267,0.87612,0.97173,0.94932,0.97169,0.89778,0.34334,0.26354,0.78407,6.5024e-05,6.5024e-05,6.5024e-05
73,2915.61,0.44886,0.35004,0.87194,0.97007,0.95447,0.97178,0.89703,0.34097,0.25912,0.78312,6.37937e-05,6.37937e-05,6.37937e-05
74,2955.51,0.43693,0.3404,0.86879,0.96716,0.95579,0.97081,0.89816,0.33473,0.25774,0.78224,6.25617e-05,6.25617e-05,6.25617e-05
75,2995.33,0.44182,0.34078,0.86308,0.96596,0.95533,0.97127,0.89863,0.32871,0.25937,0.78152,6.13286e-05,6.13286e-05,6.13286e-05
76,3035.27,0.44993,0.34226,0.86487,0.96845,0.9582,0.97115,0.90121,0.32985,0.25424,0.78145,6.0095e-05,6.0095e-05,6.0095e-05
77,3075.45,0.43936,0.33651,0.86908,0.96124,0.96073,0.9702,0.90107,0.3305,0.25757,0.78089,5.88614e-05,5.88614e-05,5.88614e-05
78,3115.26,0.43529,0.34312,0.86853,0.97008,0.95679,0.97008,0.90556,0.33011,0.25521,0.78014,5.76283e-05,5.76283e-05,5.76283e-05
79,3155.25,0.4536,0.34676,0.86718,0.97463,0.9512,0.96962,0.90175,0.32785,0.25243,0.78057,5.63963e-05,5.63963e-05,5.63963e-05
80,3195.15,0.43988,0.34014,0.86648,0.97033,0.95381,0.97112,0.90055,0.3278,0.25109,0.78004,5.5166e-05,5.5166e-05,5.5166e-05
81,3235.2,0.42549,0.33027,0.86413,0.96746,0.9588,0.97104,0.90137,0.32487,0.24981,0.77944,5.39378e-05,5.39378e-05,5.39378e-05
82,3275.04,0.43891,0.33717,0.86642,0.96619,0.95931,0.97202,0.90189,0.32558,0.24885,0.77918,5.27122e-05,5.27122e-05,5.27122e-05
83,3314.96,0.43899,0.33908,0.87186,0.974,0.95747,0.97061,0.90284,0.32284,0.24967,0.77833,5.149e-05,5.149e-05,5.149e-05
84,3354.83,0.43202,0.32804,0.86282,0.97569,0.95515,0.97009,0.90118,0.32158,0.24679,0.77903,5.02715e-05,5.02715e-05,5.02715e-05
85,3394.79,0.4472,0.34493,0.87179,0.96511,0.96262,0.97055,0.90107,0.32727,0.25036,0.78,4.90573e-05,4.90573e-05,4.90573e-05
86,3434.63,0.41765,0.33416,0.86435,0.96901,0.95554,0.96979,0.90151,0.32146,0.24694,0.77937,4.7848e-05,4.7848e-05,4.7848e-05
87,3474.51,0.42887,0.33534,0.86857,0.97337,0.95571,0.97053,0.90338,0.32056,0.24565,0.7791,4.6644e-05,4.6644e-05,4.6644e-05
88,3514.34,0.42607,0.3223,0.86038,0.97493,0.95544,0.96922,0.90524,0.31786,0.24521,0.77835,4.54459e-05,4.54459e-05,4.54459e-05
89,3554.44,0.42178,0.32478,0.86327,0.97904,0.94982,0.97073,0.90383,0.31891,0.24276,0.77841,4.42543e-05,4.42543e-05,4.42543e-05
90,3594.44,0.43241,0.32586,0.86407,0.96936,0.96172,0.96892,0.90296,0.31891,0.24393,0.77698,4.30696e-05,4.30696e-05,4.30696e-05
91,3634.42,0.41732,0.32307,0.86366,0.97479,0.95312,0.96973,0.90193,0.31378,0.24534,0.77733,4.18924e-05,4.18924e-05,4.18924e-05
92,3674.39,0.41225,0.32307,0.86282,0.96712,0.95705,0.97102,0.90242,0.31167,0.24446,0.77665,4.07231e-05,4.07231e-05,4.07231e-05
93,3714.27,0.41294,0.31947,0.86068,0.96884,0.96202,0.97049,0.90678,0.3129,0.24307,0.77687,3.95624e-05,3.95624e-05,3.95624e-05
94,3754.33,0.41474,0.31895,0.85473,0.97097,0.96192,0.97133,0.90993,0.30972,0.24156,0.77612,3.84106e-05,3.84106e-05,3.84106e-05
95,3794.36,0.42292,0.32295,0.86144,0.9717,0.96049,0.97182,0.91051,0.30924,0.2415,0.77552,3.72684e-05,3.72684e-05,3.72684e-05
96,3834.35,0.42036,0.32071,0.85529,0.97545,0.96196,0.97058,0.91027,0.30642,0.24048,0.77542,3.61362e-05,3.61362e-05,3.61362e-05
97,3874.31,0.41122,0.32316,0.85972,0.97881,0.95456,0.97104,0.90959,0.30676,0.23845,0.77601,3.50145e-05,3.50145e-05,3.50145e-05
98,3914.24,0.40503,0.31418,0.86028,0.97026,0.9615,0.97118,0.91065,0.30871,0.23941,0.77635,3.39038e-05,3.39038e-05,3.39038e-05
99,3954.23,0.4133,0.32031,0.85822,0.97734,0.95553,0.9719,0.91133,0.30789,0.23567,0.77557,3.28045e-05,3.28045e-05,3.28045e-05
100,3994.22,0.41741,0.31792,0.85791,0.97664,0.95658,0.96951,0.90919,0.30611,0.23647,0.77562,3.17173e-05,3.17173e-05,3.17173e-05
101,4034.06,0.41574,0.31914,0.87001,0.97161,0.96142,0.97178,0.91226,0.3031,0.23561,0.7748,3.06425e-05,3.06425e-05,3.06425e-05
102,4073.98,0.40826,0.31369,0.85436,0.97601,0.95599,0.97139,0.91163,0.30142,0.23666,0.77518,2.95806e-05,2.95806e-05,2.95806e-05
103,4113.98,0.40881,0.31507,0.86001,0.97903,0.95675,0.97159,0.91169,0.30331,0.23647,0.77443,2.85321e-05,2.85321e-05,2.85321e-05
104,4153.87,0.40214,0.31594,0.8579,0.97578,0.96208,0.97026,0.91137,0.30155,0.2323,0.77397,2.74975e-05,2.74975e-05,2.74975e-05
105,4193.72,0.42256,0.32228,0.85853,0.97517,0.96,0.97062,0.91101,0.29767,0.23033,0.77329,2.64771e-05,2.64771e-05,2.64771e-05
106,4233.65,0.4117,0.31414,0.85422,0.97161,0.95642,0.96788,0.90873,0.29544,0.23009,0.77279,2.54715e-05,2.54715e-05,2.54715e-05
107,4273.63,0.40451,0.30856,0.85586,0.97677,0.95981,0.97169,0.91413,0.29533,0.22998,0.77369,2.44811e-05,2.44811e-05,2.44811e-05
108,4313.62,0.40469,0.30929,0.85618,0.97813,0.95461,0.97078,0.91183,0.29537,0.23143,0.77398,2.35063e-05,2.35063e-05,2.35063e-05
109,4353.49,0.40326,0.31082,0.85547,0.97775,0.95833,0.97137,0.91287,0.29697,0.23353,0.77391,2.25475e-05,2.25475e-05,2.25475e-05
110,4393.42,0.40119,0.30678,0.86022,0.97692,0.95896,0.97069,0.91301,0.29544,0.23147,0.77301,2.16053e-05,2.16053e-05,2.16053e-05
111,4433.28,0.40369,0.30839,0.85354,0.97702,0.95644,0.97167,0.91212,0.29408,0.23324,0.77294,2.06799e-05,2.06799e-05,2.06799e-05
112,4473.17,0.40733,0.31307,0.8537,0.97339,0.96067,0.97057,0.91329,0.29309,0.23157,0.77316,1.97718e-05,1.97718e-05,1.97718e-05
113,4513.09,0.40315,0.3083,0.84752,0.97668,0.95623,0.97182,0.91367,0.29329,0.23214,0.77313,1.88813e-05,1.88813e-05,1.88813e-05
114,4552.99,0.40665,0.30988,0.85365,0.9782,0.95634,0.97181,0.91343,0.28768,0.22898,0.77236,1.8009e-05,1.8009e-05,1.8009e-05
115,4592.97,0.38709,0.30126,0.8572,0.9784,0.95444,0.97009,0.9141,0.28771,0.22814,0.77214,1.71551e-05,1.71551e-05,1.71551e-05
116,4632.88,0.37946,0.29775,0.85573,0.97955,0.95428,0.971,0.91175,0.28804,0.22854,0.77158,1.63201e-05,1.63201e-05,1.63201e-05
117,4672.68,0.39454,0.30552,0.85385,0.96813,0.96402,0.9718,0.91331,0.28701,0.2284,0.77125,1.55042e-05,1.55042e-05,1.55042e-05
118,4712.57,0.38901,0.29995,0.85022,0.96658,0.96295,0.97028,0.91446,0.28601,0.22746,0.77105,1.47079e-05,1.47079e-05,1.47079e-05
119,4752.57,0.39137,0.29947,0.85075,0.97003,0.96477,0.97066,0.91337,0.28705,0.2269,0.77104,1.39315e-05,1.39315e-05,1.39315e-05
120,4792.5,0.39343,0.30393,0.85596,0.97193,0.96362,0.97192,0.91461,0.28683,0.22561,0.77127,1.31754e-05,1.31754e-05,1.31754e-05
121,4832.53,0.39321,0.30641,0.85509,0.97315,0.96168,0.97136,0.91425,0.28434,0.22458,0.77109,1.24399e-05,1.24399e-05,1.24399e-05
122,4872.52,0.38115,0.29871,0.84916,0.97436,0.96129,0.97153,0.91313,0.28668,0.22581,0.7714,1.17252e-05,1.17252e-05,1.17252e-05
123,4912.49,0.38487,0.30148,0.85273,0.97443,0.96073,0.97114,0.91579,0.28268,0.22581,0.77052,1.10318e-05,1.10318e-05,1.10318e-05
124,4952.62,0.38806,0.30181,0.84891,0.97579,0.95948,0.96949,0.91351,0.28437,0.2271,0.77077,1.03599e-05,1.03599e-05,1.03599e-05
125,4992.59,0.38835,0.30489,0.8543,0.97303,0.96009,0.97024,0.91436,0.28503,0.22565,0.77107,9.70977e-06,9.70977e-06,9.70977e-06
126,5032.6,0.39426,0.30012,0.84735,0.97377,0.96133,0.97117,0.91472,0.28596,0.22555,0.77078,9.08177e-06,9.08177e-06,9.08177e-06
127,5072.57,0.38515,0.30014,0.85426,0.97398,0.96081,0.97063,0.91498,0.28209,0.22391,0.77111,8.47616e-06,8.47616e-06,8.47616e-06
128,5112.48,0.38887,0.30254,0.8543,0.97551,0.95921,0.97073,0.91635,0.28127,0.22362,0.7713,7.89318e-06,7.89318e-06,7.89318e-06
129,5152.58,0.38918,0.3026,0.85064,0.97637,0.95887,0.97108,0.9163,0.28137,0.22439,0.77143,7.3331e-06,7.3331e-06,7.3331e-06
130,5192.59,0.38892,0.29956,0.84763,0.96918,0.96479,0.971,0.91654,0.28257,0.22525,0.77143,6.79616e-06,6.79616e-06,6.79616e-06
131,5232.65,0.39212,0.30428,0.85599,0.9706,0.96334,0.97096,0.9145,0.28296,0.22418,0.77114,6.2826e-06,6.2826e-06,6.2826e-06
132,5272.74,0.38564,0.30055,0.85554,0.97131,0.96489,0.97098,0.91685,0.28142,0.22306,0.77088,5.79265e-06,5.79265e-06,5.79265e-06
133,5312.86,0.39011,0.29848,0.85366,0.96621,0.96507,0.97047,0.91575,0.28142,0.22364,0.77073,5.32652e-06,5.32652e-06,5.32652e-06
134,5352.9,0.38356,0.29703,0.84559,0.97145,0.96417,0.97098,0.916,0.28005,0.22378,0.77078,4.8844e-06,4.8844e-06,4.8844e-06
